Project Name,Status,Description,Research Area,Project Lead,Team Members,Key Team Members,Start Date,Target End Date,GitHub Repository,Funding,Compute,Compute resources,Outputs,Related Events,Last edited time,Last edited by,Frequency,Notes / Duplicates
BODHI: Medical AI as Epistemic Agent,Active,"Systems design framework reimagining medical AI as an epistemic agent: one that questions assumptions, reasons under uncertainty, and recognizes the boundaries of its own knowledge.",AI Epistemics & Framework Design,Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),Sebastian Cajas (https://www.notion.so/Sebastian-Cajas-318e4faff87f81a68594db7611cc5312?pvs=21),Sebastian Cajas (lead developer),"February 19, 2026","March 3, 2027",https://github.com/sebasmos/bodhi-llms,,,,,,"March 17, 2026 1:46 PM",Ken,,
LabTube: 3D Temporal Modeling of ICU Labs,Active,VideoMAE-style modeling of ICU lab time series. Elevates time to a structural dimension ('the tube'). Unifies time and lab space in one 3D tensor for spatio-temporal modeling. Described as successor to Lab-MAE.,AI/ML Infrastructure & Tooling,Boya Zhang (https://www.notion.so/Boya-Zhang-318e4faff87f810aa3caff0f6c2210d0?pvs=21),Tiger Krittaphas (https://www.notion.so/Tiger-Krittaphas-326e4faff87f806682fae38201d9fc23?pvs=21),Tiger Krittaphas,"February 2, 2026","April 30, 2026",https://github.com/tinaboya/LabTube,N/A,,,,,"March 17, 2026 1:47 PM",Ken,,Related to Lab-MAE (explicit successor). Kept as a separate project.
"Brown Mental Health LLM-athon (Feb 26�27, 2026)",Active,"AI-a-thon for high school students, teachers, data scientists, and healthcare professionals. Cross-disciplinary teams tackle real-world AI-in-healthcare activities. Youth-centered.",Education/Events/Workshops,Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),"Ahram Han (https://www.notion.so/Ahram-Han-318e4faff87f8121af18dd304596944a?pvs=21), Takeshi Tohyama (https://www.notion.so/Takeshi-Tohyama-318e4faff87f81e2a9adf4ac0de20d03?pvs=21), Tiger Krittaphas (https://www.notion.so/Tiger-Krittaphas-326e4faff87f806682fae38201d9fc23?pvs=21), Boya Zhang (https://www.notion.so/Boya-Zhang-318e4faff87f810aa3caff0f6c2210d0?pvs=21), Ryohei Yamamoto-Kobayashi (https://www.notion.so/Ryohei-Yamamoto-Kobayashi-318e4faff87f818f884fc9e94807e796?pvs=21), Laurine Sprehe (https://www.notion.so/Laurine-Sprehe-318e4faff87f81d1802bcb1a03d089db?pvs=21), Hannes Ill (https://www.notion.so/Hannes-Ill-318e4faff87f8133a59ed978c7fd44dd?pvs=21), Marlene Louisa Moerig (https://www.notion.so/Marlene-Louisa-Moerig-318e4faff87f8183a1bbd9b8b557ce0f?pvs=21)","Ahram Han, Ann Larson, Boya Zhang, Doug Rademacher, Hannes Ill, Laurine Sprehe, Ryohei Kobayashi, Takeshi Tohyama, Tiger Krittaphas, Marlene, and others","February 1, 2026","February 27, 2026",,MIT + Brown University,,,,,"March 17, 2026 10:41 AM",Ken,,
"MIT Critical Data Branding, Events & Comms",Active,"Coordination of the lab's external events calendar, website (criticaldata.mit.edu), social media (LinkedIn/X/Instagram), YouTube, and communication infrastructure. Includes AI Attitudes platform.",Lab Operations,"Kenneth Paik (https://www.notion.so/Kenneth-Paik-326e4faff87f802dadded21daa435b8f?pvs=21), Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21)","Saleem Ameen (https://www.notion.so/Saleem-Ameen-318e4faff87f81f0a6fcc93a5bf3f005?pvs=21), Milit Patel (https://www.notion.so/Milit-Patel-326e4faff87f8022ad72e35c5864db2d?pvs=21), Marlene Louisa Moerig (https://www.notion.so/Marlene-Louisa-Moerig-318e4faff87f8183a1bbd9b8b557ce0f?pvs=21), Aryan Bhattacharya (https://www.notion.so/Aryan-Bhattacharya-326e4faff87f80978eaac1f1b30a5dab?pvs=21)","Saleem Ameen, Aryan Bhattacharya, Han-Jay Shu, Rahul, Marlene, Mindy, Milit Patel, Akshay Kelshiker, Dukyong","January 17, 2026",,,N/A,,,,,"March 17, 2026 10:42 AM",Ken,,
6 Tools Framework + Jan 15 Event Take-aways,Active,Using the 6 tools framework combined with January 15th event outcomes to summarize desired changes in medical education.,Education/Events/Workshops,Laurine Sprehe (https://www.notion.so/Laurine-Sprehe-318e4faff87f81d1802bcb1a03d089db?pvs=21),,Nikil,"January 15, 2026","March 31, 2026",,N/A,,,,,"March 17, 2026 10:36 AM",Ken,,
Multimodal Data Discordance,Active,"Evaluating AI performance, entropy, and calibration in discordant data across multiple modalities.","Multimodal EHR, Vector Embeddings",Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),Takeshi Tohyama (https://www.notion.so/Takeshi-Tohyama-318e4faff87f81e2a9adf4ac0de20d03?pvs=21),"Vector Embedding team, HST.956 class students","January 1, 2026","December 30, 2026",,Own compute,,,,,"March 17, 2026 10:43 AM",Ken,,Overlaps with VE team work. Kept as a separate project. Submitted by Takeshi Tohyama.
"AI as a Catalyst (Jan 15, 2026 Event)",Nearing Completion,January 15th 2026 large multi-stakeholder event on AI in healthcare.,Education/Events/Workshops,Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),,"Djillali Annane, Lorna Atimango, Azra Bihorac, + ~100 others","December 30, 2025","January 15, 2026",,MIT,,,,,"March 17, 2026 10:36 AM",Ken,,
MIT Critical Data Central America,Active,Using Central America critical health data to analyze current healthcare outcomes.,Global Health & Regional Data,Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),,"Juan Luis, Roberto Guizar","November 18, 2025",,,,,,,,"March 17, 2026 10:37 AM",Ken,,
MedScope: Pain Documentation Bias,Active,Measuring how pain is documented across clinical notes (BRIDGE) and standardized exam questions (WorldMedQA) to uncover systematic bias in data and models.,Bias/Fairness/Representation,Boya Zhang (https://www.notion.so/Boya-Zhang-318e4faff87f810aa3caff0f6c2210d0?pvs=21),,"Yuanchao Ma, Jiageng Wu","November 3, 2025","April 30, 2026",https://github.com/tinaboya/MedScope,N/A,,,,,"March 17, 2026 1:46 PM",Ken,,"Related to WorldmedQA (Sebastien). Same datasets, same bias theme. Kept as a separate project."
SLICES: SSL Objectives for ICU Representation,Active,Modular framework comparing self-supervised learning (SSL) objectives on ICU patient representation tasks. Master's thesis project.,AI/ML Infrastructure & Tooling,Hannes Ill (https://www.notion.so/Hannes-Ill-318e4faff87f8133a59ed978c7fd44dd?pvs=21),,,"November 1, 2025","April 30, 2026",https://github.com/hannesill/SLICES,No funding (GCP $500 credits from Takeshi),,,,,"March 17, 2026 1:46 PM",Ken,,Master's thesis.
Standard Model of Care,Nearing Completion,No description provided.,AI Epistemics & Framework Design,Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),Sebastian Cajas (https://www.notion.so/Sebastian-Cajas-318e4faff87f81a68594db7611cc5312?pvs=21),Sebastian Cajas,"October 16, 2025","March 31, 2026",,,,,,,"March 17, 2026 10:43 AM",Ken,,Description missing � follow up with Sebastian Cajas.
M4: Clinical Research Agent (MCP),Active,"Infrastructure for AI-assisted clinical research enabling natural-language exploration of ICU datasets (MIMIC-IV, eICU). Operates as an MCP server (Claude Desktop, Cursor) and Python API with clinician-authored Agent Skills modules. Evaluation framework: L1 SQL accuracy, L2 clinical artifact generation, L3 research reproduction. Preprint target April 2026.",AI/ML Infrastructure & Tooling,Hannes Ill (https://www.notion.so/Hannes-Ill-318e4faff87f8133a59ed978c7fd44dd?pvs=21),"Ahram Han (https://www.notion.so/Ahram-Han-318e4faff87f8121af18dd304596944a?pvs=21), Ryohei Yamamoto-Kobayashi (https://www.notion.so/Ryohei-Yamamoto-Kobayashi-318e4faff87f818f884fc9e94807e796?pvs=21), Marlene Louisa Moerig (https://www.notion.so/Marlene-Louisa-Moerig-318e4faff87f8183a1bbd9b8b557ce0f?pvs=21), Dukyong Yoon (https://www.notion.so/Dukyong-Yoon-318e4faff87f81238d19c0f45634805d?pvs=21), Takeshi Tohyama (https://www.notion.so/Takeshi-Tohyama-318e4faff87f81e2a9adf4ac0de20d03?pvs=21)","Ahram Han, Ryohei Yamamoto-Kobayashi, Dukyong Yoon, Takeshi Tohyama, Marlene Moerig","October 1, 2025","October 1, 2026",https://github.com/hannesill/m4,No funding,,,,,"March 17, 2026 1:46 PM",Ken,,DUPLICATE: Submitted 3x � by Hannes Ill (�2) and Benet Fite Abril. Marlene's entry is most complete and used as canonical.
Impact Analysis of Prediction Models (Causal Inference),Active,"Evaluating whether prediction models improve patient outcomes before clinical implementation. Methods: target trial emulation, interrupted time series, difference-in-difference, and other causal inference approaches.",Clinical Prediction/Causal Inference,Ryohei Yamamoto-Kobayashi (https://www.notion.so/Ryohei-Yamamoto-Kobayashi-318e4faff87f818f884fc9e94807e796?pvs=21),"Takeshi Tohyama (https://www.notion.so/Takeshi-Tohyama-318e4faff87f81e2a9adf4ac0de20d03?pvs=21), Ahram Han (https://www.notion.so/Ahram-Han-318e4faff87f8121af18dd304596944a?pvs=21), Norman Pedersen (https://www.notion.so/Norman-Pedersen-318e4faff87f81be9a6edf95f2c888c0?pvs=21)","Takeshi, Ahram, Norman, Francesca, Kerollos","September 30, 2025","September 30, 2027",https://github.com/ryohei-hey/mimiciv-rox-strategy-impact-analysis,The Naito Foundation,,,,,"March 17, 2026 10:44 AM",Ken,,
Model Drift in MIMIC,Active,Measuring model drift over time using MIMIC data.,Clinical Prediction/Causal Inference,Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),,,"September 18, 2025","April 30, 2026",https://github.com/HamzaNabulsi/Data-Drift,,,,,,"March 17, 2026 10:38 AM",Ken,,
Vector Embedding Pipeline (v1),Active,Pipeline to extract vector embeddings from pre-trained transformers. Final stages of v1.,Vector Embeddings,Kenneth Paik (https://www.notion.so/Kenneth-Paik-326e4faff87f802dadded21daa435b8f?pvs=21),"Ahram Han (https://www.notion.so/Ahram-Han-318e4faff87f8121af18dd304596944a?pvs=21), Takeshi Tohyama (https://www.notion.so/Takeshi-Tohyama-318e4faff87f81e2a9adf4ac0de20d03?pvs=21), Norman Pedersen (https://www.notion.so/Norman-Pedersen-318e4faff87f81be9a6edf95f2c888c0?pvs=21)","Ken, Ahram, Takeshi, Dokyong","September 10, 2025","March 10, 2026",MIT LCP,Google Cloud Credits,,,,,"March 17, 2026 10:44 AM",Ken,,Related to the broader Vector Embedding team workstream. Kept as a separate project.
Snapshot Embedding for EHR Data,Active,Improving snapshot embeddings of EHR data using multimodal data. Version 1 in final stages.,"Multimodal EHR, Vector Embeddings",Takeshi Tohyama (https://www.notion.so/Takeshi-Tohyama-318e4faff87f81e2a9adf4ac0de20d03?pvs=21),"Ahram Han (https://www.notion.so/Ahram-Han-318e4faff87f8121af18dd304596944a?pvs=21), Hannes Ill (https://www.notion.so/Hannes-Ill-318e4faff87f8133a59ed978c7fd44dd?pvs=21)","Ahram, Hannes, Xiao, Laurine","September 1, 2025","April 30, 2026",https://github.com/ttohya/clinemb,Korean fund (VE project),,,,,"March 17, 2026 10:45 AM",Ken,,
Multimodal VE for Cardiovascular Disease,Active,Leveraging the vector embedding approach for integration of multimodal data in cardiovascular disease.,"Multimodal EHR, Vector Embeddings",Takeshi Tohyama (https://www.notion.so/Takeshi-Tohyama-318e4faff87f81e2a9adf4ac0de20d03?pvs=21),"Ahram Han (https://www.notion.so/Ahram-Han-318e4faff87f8121af18dd304596944a?pvs=21), Dukyong Yoon (https://www.notion.so/Dukyong-Yoon-318e4faff87f81238d19c0f45634805d?pvs=21)","Ahram, Dukyoon, Riya, Gowrish","August 20, 2025","July 31, 2026",,Own compute,,,,,"March 17, 2026 10:45 AM",Ken,,
XAI Claims in ICU ML Models (Scoping Review),Active,"PRISMA-ScR scoping review systematically mapping, analyzing, and assessing claims about explainability in ML models for diagnostic/prognostic decision-making in intensive care.",Systematic Review,Marlene Louisa Moerig (https://www.notion.so/Marlene-Louisa-Moerig-318e4faff87f8183a1bbd9b8b557ce0f?pvs=21),"Louis Agha-mir-Salim (https://www.notion.so/Louis-Agha-mir-Salim-326e4faff87f80359008e84c0ba9eca9?pvs=21), Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21)","Louis Agha-mir-Salim, Leo Celi, Prof Stefan Haufe, Jana Fehr, Valerie B�rger, Nicolas Frey","April 1, 2025","May 1, 2026",,No funding / individual contributor funding,,,,,"March 17, 2026 10:45 AM",Ken,,
Epidemiology of Sentiments in Clinical Notes,Active,"Curated repository of open-source sentiment analysis tools for healthcare documents (text, audio, video modalities). Maps sentiment patterns in clinical documentation to patient characteristics, outcomes, and resource utilization.",Systematic Review,"Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21), Marlene Louisa Moerig (https://www.notion.so/Marlene-Louisa-Moerig-318e4faff87f8183a1bbd9b8b557ce0f?pvs=21)",,"Paola Buedo, Max Lange, Rajna, Gaetano Manzo, Andrei Catalin Coman, Marlene Moerig","March 1, 2025","July 1, 2026",In progress,Individual contributor funding,,,,,"March 17, 2026 10:38 AM",Ken,,
Bias in Omics Data Beyond Non-Representativeness,Nearing Completion,"Systematic review investigating sources of bias across the full lifecycle of OMICS data (genomics, transcriptomics, proteomics, metabolomics). Covers data production, technical/instrumental, computational/analytical, and reporting stages. ~179 articles reviewed.",Systematic Review,Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),,"Kezia, Marlene, Marianna, Amir Hossein, Mohammad, Jehad, Sebastian, Osama, Yichun","August 11, 2024","February 28, 2026",https://github.com/criticaldata/omics-bias,No funding,,,,,"March 17, 2026 10:39 AM",Ken,,DUPLICATE: Also submitted by Sebastian Cajas as 'Omics review' (minimal description). Marlene's entry is canonical.
WorldmedQA: Cross-Cultural Pain Concepts,Active,Comparing how concepts like 'pain' are represented across cultures and languages using BRIDGE and WorldMedQA datasets (~30 countries).,Bias/Fairness/Representation,"Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21), Boya Zhang (https://www.notion.so/Boya-Zhang-318e4faff87f810aa3caff0f6c2210d0?pvs=21)",Marlene Louisa Moerig (https://www.notion.so/Marlene-Louisa-Moerig-318e4faff87f8183a1bbd9b8b557ce0f?pvs=21),"Siena Placino, Connor B, Marlene, Rajiv",,,MedScope (repo),,,,,,"March 17, 2026 1:46 PM",Ken,,"Related to MedScope (Boya). Same datasets, same bias theme. Kept as a separate project."
Lab-MAE: Foundation Model for Lab Data,Active,"Transformer-based foundation model creating vector embeddings of laboratory test data from MIMIC. Contextualizes lab values (e.g., creatinine 3.6 means something different per patient/time). Provides a knowledge graph of numeric clinical data capturing physiological states.",AI/ML Infrastructure & Tooling,Yugang Jia (https://www.notion.so/Yugang-Jia-326e4faff87f80dbb275d2b17a21d26e?pvs=21),Boya Zhang (https://www.notion.so/Boya-Zhang-318e4faff87f810aa3caff0f6c2210d0?pvs=21),Boya Zhang (submitter),,,https://github.com/dsrestrepo/Lab-MAE-Foundation-Tabular,,,,,,"March 17, 2026 1:46 PM",Ken,,Related to LabTube (explicit predecessor/successor relationship).

# Last updated June 10
